5308.5412	10m	U I
5314.7851	300	Ne I 
		
5316.8046	250	Ne I 
5320.55	20	Ne I 
5326.396	750	Ne I 
5329.2710	10m	U I
5330.672	5	Ne I 
5330.7775	6000	Ne I 
		
5333.3083	500	Ne I 
5335.71	100	Ne I 
5341.0938	10000	Ne I 
5342.7	10	Ne I 
5343.0048	100	Ne I 
		
5343.2834	6000	Ne I 
5349.2038	1500	Ne I 
5353.513	50	Ne I 
5355.164	1500	Ne I 
5355.3394	50	Ne I 
		
5355.4236	1500	Ne I 
5358.02	100	Ne I 
5360.0121	1500	Ne I 
5360.4271	350	Ne I 
5362.2334	250	Ne I 
		
5366.2169	250	Ne I 
5372.311	750	Ne I 
5374.975	500	Ne I 
5376.635	80	Ne II 
5377.255	80	Ne II 
		
5380.721	80	Ne II 
5380.886	60	Ne II 
5382.9301	10m	U I
5383.2457	250	Ne I 
5386.19	55	U II 
5386.898	60	Ne II 
		
5387.209	80	Ne II 
5392.001	100	Ne II 
5392.248	100	Ne II 
5396.47	 22w 	Ne II 
5396.782	60	Ne II 
		
5396.965	120	Ne II 
5397.096	100	Ne II 
5400.5616	20000	Ne I 
5405.152	 140* 	Ne II 
5405.152	 140* 	Ne II 
		
5410.12	50	Ne I 
5411.083	60	Ne II 
5411.263	100	Ne II 
5412.649	2500	Ne I 
5418.5584	1500	Ne I 
		
5420.09	 12w,bl 	Ne II 
5420.155	500	Ne I 
5433.6513	2500	Ne I 
5447.12	80	Ne I 
5448.5091	1500	Ne I 
		
5475.7	80	U II 
5480.26	70	U II 
5481.2	70	U II 
5482.53	45	U II 
5492.95	160	U II 
		
5494.4158	500	Ne I 
5496.4269	10m	U I
5500.6843	10m	U I
5507.3442	250	Ne I 
5511.176	30	Ne I 
5511.485	150	Ne I 
5511.4961	10m	U I
5520.63	30	Ne I 
		
5527.82	70	U II 
5533.6788	750	Ne I 
5538.651	500	Ne I 
5557.8810	10m	U I
5559.0978	350	Ne I 
5562.4416	1500	Ne I 
		
